title,short_name,city,state_abbreviation,url,about_html,logo_src,productions_html
KSJN-FM (Minnesota Public Radio),Minnesota Public Radio,St. Paul,MN,http://minnesota.publicradio.org/,"<p>Minnesota Public Radio is one of the nation's premier public radio
stations producing programming for radio, online and live audiences. MPR started
at Saint John’s University where Bill Kling, a student, found the support of Father
Colman Barry, President of Saint John’s, to launch a new college radio station.</p><p>KSJR went on air on January 22, 1967 as a 40,000-watt classical music FM station.
This single station grew into Minnesota Public Radio and a number of other public
media companies, collectively called the American Public Media Group. Today MPR
operates a 44-station radio network serving nearly all of Minnesota and parts
of surrounding states. Reaching 900,000 weekly listeners, MPR and its three regional
services—MPR News, Classical MPR and The Current—produce programming for radio,
online and live audiences.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/mpr_logo.png,"<p>Midday (1967-2012)</p><p>A Prairie Home Companion (1974-present day)</p><p>Pipedreams
(1982-present day)</p><p>MPR News (1967-present day)</p><p>The Splendid Table (1994-present
day)</p><p>Marketplace (1989-present day</p>"
KUCB (Unalaska Community Broadcasting/KIAL),KUCB,Unalaska,AK,http://kucb.org/,"<p>Unalaska Community Broadcasting is a non-profit organization that
has served Unalaska since 1984. We began as a local access television station
and have since developed into a provider of television, radio, a website, and
various social media outlets.  We were incorporated in 1984 as a 501(c)3 charitable
organization known at the time as Unalaska Community Television. UCTV broadcast
a low-power television signal to the community of Unalaska over channel 8.  Channel
8 Television has been on the air continuously since then. </p><p>Our broadcast service
area is the community of Unalaska and the Port of Dutch Harbor, the hub of the
Aleutian Islands. Since UCB opened its doors in the 1980s, Unalaska has grown
to become the 11th largest community in the state, and Dutch Harbor is one of
the top fishing ports in the nation.  Residents turn to our organization for news
and information from a trusted local source.  We are the only media organization
based in our region, and these days our reach goes far beyond our island.   We
are often called upon by state and national news organizations to cover news or
provide photos and video from the Aleutian Islands, Pribilof Islands, and Alaska
Peninsula.  Our website gets thousands of hits a week from individuals all over
the world interested in Western Alaska news and events.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/kucb_logo.png,"<p>Channel 8 remains a vibrant part of our organization and we document
nearly every cultural event that takes place in Unalaska.  Staff collaborates
with volunteers to create about 10 hours per week of local programming.  Highlights
include:</p><p>Flash News - A weekly news program featuring a week’s worth of stories
from the KUCB newsroom.</p><p>Flash Unalaska - A talk show where volunteers review
community events from the prior week and give a preview of upcoming events.  Flash
Unalaska has been on the air since at least 1988.</p><p>City Council Coverage</p><p>Frequent
cooking shows and game shows, when participants are available.</p>"
KUED,PBS Utah,Salt Lake City,UT,https://www.pbsutah.org/,"<p>PBS Utah (KUED-TV), licensed to The University of Utah, is the sole PBS member station serving Utah, providing the state with access to quality programs 24 hours a day, on four broadcast channels. PBS Utah provides service to one of the largest geographic areas of any public television station in the country, reaching portions of five states — including all of Utah and parts of Wyoming, Idaho, Nevada, and Arizona — through the use of three broadcast transmitters and a network of over 85 translator relay stations.</p><p>PBS Utah airs national PBS programming in addition to award-winning, locally produced documentaries and series. Recognized as one of the leading public television stations in the country, PBS Utah is committed to serving and engaging with the Utah community through its diverse productions, as well as its educational and outreach programs. PBS Utah is always evolving to provide Utahns with relevant programming and services while maintaining its core values of integrity, fairness, independence, education, and innovation.</p><p>PBS Utah first signed on the air under call letters KUED on January 20, 1958, with an episode of “The Friendly Giant.” Original broadcasts were set up from improvised studios in the basement of the old student union building on The University of Utah campus. The station had humble beginnings, with the use of primitive equipment, a donated transmitter (thanks to a donation from Time-Life Inc., then-owners of KTVT Channel 4, now KTVX) and a $100,000 grant from the Ford Foundation, KUED began broadcasting educational programming for the public in Utah.</p><p>Early programming was purely educational, in some cases consisting of nothing more than a teacher standing in front of a chalk board and lecturing. Nearly half of the programs aired were locally-produced, with the rest coming from National Educational Television (NET) and other distributors. When the Public Broadcasting Service (PBS) succeeded NET in 1970, the focus of programming shifted to both education and entertainment.</p><p>In 1993 the station moved to its current location, the Dolores Doré Eccles Broadcast Center. Moving to this new facility allowed KUED to grow and produce additional programming that previously had not been possible.</p><p>KUED was the first station to ever win the Rocky Mountain Emmy Award of Excellence for the Best Overall TV Station, a major recognition of the station's commitment to serve the Utah community.</p><p>Today, PBS Utah provides four digital channels: PBS Utah HD, WORLD, PBS KIDS 24/7, and Create. PBS Utah HD (7.1 or Comcast 658) offers the full PBS schedule in addition to a weekday block of PBS KIDS programming. WORLD (7.2 or Comcast 390) offers PBS documentaries, public affairs, and more. PBS KIDS 24/7 (7.3 or Comcast 391) offers trusted PBS KIDS programming at all hours of the day. Create (7.4 or Comcast 393) offers how-to, travel, cooking programs, and more.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/pbsutah_logo.png,<p>Utah’s World War Two Stories</p><p>Butch Cassidy and the Outlaw Trail</p><p>Return of the Wolves</p><p>Maynard Dixon</p><p>Shadow of Hope</p><p>One Family’s War</p><p>Joe Hill</p><p>Long Walk: Tears of the Navajo</p><p>Wallace Stegner</p><p>Brigham Young</p><p>Christmas with the Mormon Tabernacle Choir</p><p>Martha Hughes Cannon</p><p>Skull Valley: Radioactive Waste and the West</p><p>Let the Women Vote!</p><p>Utah: The Struggle for Statehood</p>
KUHF-FM,KUHF-FM,Houston,TX,http://www.houstonpublicmedia.org/,"","",""
KUNM (aka KNME-FM),KUNM,Albuquerque,NM,http://kunm.org/,"","",""
KUOW Puget Sound Public Radio,KUOW Puget Sound Public Radio,Seattle,WA,http://kuow.org/,"","",""
KUSC-FM,KUSC,Los Angeles,CA,http://www.kusc.org/,"","",""
KUSP-FM,KUSP,Santa Cruz,CA,http://www.kusp.org/,"","",""
KUT Radio,KUT Radio,Austin,TX,http://kut.org/,"<p>KUT was established in 1958 and became a charter member of NPR in
1971, carrying the first-ever broadcast of All Things Considered in May of that
year. KUT also contributed the first of, what would become in time, 14 of the
station’s employees to the NPR staff. In 1979, KUT carried the November inaugural
broadcast of Morning Edition, with Bob Edwards as host and, in doing so, helped
to launch what has become one of the most important and honored public radio programs.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/kut_logo.png,"<p>Texas Standard - the national daily news show of Texas.</p><p>The
Austin Music Experience - your weekly source for dynamic live performances, classic
recordings, and music news.</p><p>In Black America - the nationally syndicated radio
series which is heard weekly on close to 20 stations across the country. The weekly
podcast of In Black America, the only nationally broadcast black-oriented public
affairs radio program, is one of KUT’s most popular podcasts.</p><p>Two Guys on Your
Head - Each week Dr. Art Markman and Dr. Bob Duke explore different aspects of
human behavior and the brain.</p>"
KUVO-FM,KUVO,Denver,CO,http://kuvo.org/,"","",""
KVCR,KVCR,San Bernardino,CA,http://kvcr.org/,"","",""
KVIE,KVIE,Sacramento,CA,http://www.kvie.org/,"",https://s3.amazonaws.com/americanarchive.org/org-logos/kvie_logo.png,<p>America’s Heartland</p><p>KVIE Arts Showcase</p><p>Rob on the Road</p><p>Studio Sacramento</p><p>ViewFinder</p><p>Yes! We’re Open</p>
KWSO-FM (Warm Springs Community Radio),KWSO,Warm Springs,OR,http://kwso.org/,"<p>The Confederated Tribes of Warm Springs (CTWS) is a federally recognized Indian Tribe located in Central Oregon 104 miles south of Portland and 60 miles north of Bend, just off Highway 26. The Warm Springs Reservation consists of 640,000 acres and is home to three (3) tribes, the Warm Springs, Wasco, and Paiute Tribes.  KWSO 91.9 FM is a Non-Commercial Community radio station owned and operated by the Tribes and first aired in September 1986. With 4,300 watts of power, and a transmitter atop Eagle Butte, KWSO broadcasts 7 days a week, 24 hours a day. The radio station broadcasts local news and information, cultural programming and music, and reaches 50,000 people in all of Jefferson County and into Wasco, Crook and Deschutes Counties with a primary focus on the residents of the Warm Springs Indian Reservation.  In 2009 KWSO moved into the Warm Springs Media Center which was funded by the CTWS, Meyer Memorial Trust and the Corporation for Public Broadcasting Community Service Grant Program. This eco-friendly building features a 11.4 kilowatt solar panel array and also houses the Spilyay Tymoo, a community newspaper published by the CTWS.  The mission of KWSO radio is to provide Warm Springs with quality radio programming that: delivers local news and information; promotes education, cultural knowledge and language preservation; and increases awareness of social, health and safety issues.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/kwso_logo.png,"<p>The Warm Springs Program and Our People and Mother Earth - KWSO
continues ongoing production of these weekly news magazines. </p><p>Talking Drum -
KWSO produced this show for the NV1 network for several years, and formerly produced
“Groove Central Radio.” </p><p>Veterans Day programming- KWSO alters format to honor
veterans with special programming all day on Veteran’s Day, featuring history
of Native American Service and interviews with local Veterans from the past and
present.  There is currently 12 hours of locally produced Veteran's Day content.</p><p>We Shall Remain - KWSO produces this <a href=""http://www.prx.org/series/31158-we-shall-remain"">radio hour</a></p>"
KWSU/KTNW (Northwest Public Television),Northwest Public Broadcasting,Pullman,WA,https://www.nwpb.org/,"<p>Northwest Public Broadcasting is a PBS television and NPR radio service licensed to Washington State University. NWPB reaches more than 3.6 million people in 44 counties throughout Washington state and parts of Oregon, Idaho and British Columbia. The television service is comprised of two stations:  KWSU in Pullman, WA and KTNW in the Tri-Cities, WA. KWSU originated in 1962 and KTNW in 1987. The radio service provides two services: NPR and Classical Music and NPR News over a network of 18 stations and 14 translators. The radio service originated in 1925 with KWSU-AM.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/nwpb_logo.png,""
KXCI Community Radio,KXCI Community Radio,Tucson,AZ,https://kxci.org/,"","",""
KYUK,KYUK,Bethel,AK,http://kyuk.org/,"<p>KYUK is owned and operated by Bethel Broadcasting, Inc., a Native American run organization that is working to educate, stimulate, and inform; as well as provide cultural enrichment, entertainment, and opportunity for public access; and language maintenance for cultural survival. KYUK first began broadcasting radio to the Yukon-Kuskokwim Delta in 1971, making it the first and oldest Native-owned station in the United States. KYUK television began broadcasting in 1972.</p><p>Many Elder residents in the region are monolingual Yup’ik Speakers, or speak English as a second language. As a result, KYUK is a bilingual station, broadcasting in both English and Yugtun. To make services as valuable as possible, KYUK broadcasts approximately one hour a day of local news in the Yup’ik language, along with an hour and a half of Yup’ik public affairs and talk shows five days a week.</p><p>KYUK radio serves a population of approximately 22,000 predominantly Yup’ik/Cup’ik residents in the Yukon-Kuskokwim Delta region of Southwest Alaska.</p><p>KYUK has been documenting life in the Yukon-Kuskokwim Delta for nearly 50 years. Going back to 1971, KYUK has been capturing everything from Yup'ik dance to interviews with local Elders. Now KYUK is digitizing our history. With help from our funders, we are in the process of digitizing over 2,000 videos and making them available to the public.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/kyuk_logo.png,""
Library of Congress,Library of Congress,Washington,DC,https://www.loc.gov/,"","",""
Louisiana Public Broadcasting,Louisiana Public Broadcasting,Baton Rouge,LA,http://ladigitalmedia.org/,"<p>On September 6, 1975 at 11:58 a.m., longtime public television advocate
Lucille Woodard flipped a ceremonial switch to sign WLPB on in Baton Rouge. It
was the culmination of three years of hard work after the Legislature approved
the creation of the Louisiana Educational Television Authority. </p><p>Woodard, a professor
at LSU, started working in the 1950s to get educational television throughout
the state. After decades of frustrated efforts, the Louisiana Educational Television
Authority was created in 1971 and the money to start the state network was appropriated.</p><p>KLTM-TV in Monroe was the second LPB station to go on the air in 1976, followed
by KLTS in Shreveport and KLPB in Lafayette in 1978. KLTL in Lake Charles signed
on in 1981 and KLPA-TV in Alexandria went on the air in 1983. LPB has also entered
into a partnership with WLAE-TV32 in New Orleans, which gives LPB a presence in
the Crescent City.</p><p>Louisiana: The State We’re In was started in 1976 with current
Executive Director/CEO Beth Courtney as host and producer. The only statewide
magazine in Louisiana, it has garnered many journalism and public affairs awards
during its 38-year history. </p><p>Our first nationally–syndicated show was Justin
Wilson’s Louisiana Cooking.  Our 13th series with Chef John Folse, Hook Lies and
Alibis, premiered in 2015.</p><p>Documentaries about Louisiana and its “unique” politics
have always been a major part of LPB’s locally produced programming. LPB combined
with rising filmmaker Ken Burns (The Civil War) to produce Huey Long. Other award-winning
documentaries produced or co-produced by LPB have included Uncle Earl and Lindy
Boggs: Steel &amp; Velvet.</p><p>The six-part series Louisiana: A History, LPB’s biggest
and most lauded project to date, premiered in September 2003 to coincide with
the 200th anniversary of the Louisiana Purchase. </p><p>Preserving and showcasing our
state’s history has always been a goal for LPB. Documentaries such as Signpost
to Freedom: The 1953 Baton Rouge Bus Boycott and Against the Tide: The Story of
the Cajun People of Louisiana have all explored little-known aspects of our past
and present. </p><p>In the 1990s, LPB produced a wide range of documentaries about
our state’s artists, including Ernest Gaines: Louisiana Stories, Frame After Frame:
The Images of Herman Leonard, and Kate Chopin: A Re-Awakening.</p><p>When Hurricanes
Katrina and Rita devastated South Louisiana and New Orleans, LPB documented the
heroic actions of rescuers through Katrina’s Smallest Victims and the stories
of the storm survivors trying to put the lives back together in American Creole
and Washing Away: Losing Louisiana.</p><p>LPB has continued to turn out award-winning
documentaries. In 2012 the network was chosen to create the official documentary
for the state’s 200th anniversary of joining the Union, Louisiana: 200 Years of
Statehood.  When a program was needed to kick off the Year of Music in 2013, LPB
joined forces with the Lt. Governor’s Office and Harry Connick, Jr. to create
Sunshine By the Stars: Celebrating Louisiana Music. It featured an all-star lineup
of Louisiana musicians performing their unique versions of one of Louisiana’s
State Songs “You Are My Sunshine.” </p>",https://s3.amazonaws.com/americanarchive.org/org-logos/lpb_logo.png,"<p>Louisiana: The State We’re In – Louisiana’s only statewide newsmagazine,
now in its 38th season.  It started in November 1976, a little over a year after
LPB went on the air. </p><p>A Taste of Louisiana with Chef John Folse – Our longest
running cooking show.  It started in 1990.  We’ll be airing the 13th season next
year. </p><p>Louisiana: A History – A six-part series produced for the 200th anniversary
of the Louisiana Purchase in 2003. </p><p>Sunshine By The Stars: Celebrating Louisiana’s
Music – We had famous Louisiana musicians cover one of our state songs “You Are
My Sunshine” in their own styles.  The song was written by our two-term Governor
Jimmie Davis. </p><p>Alive! In America’s Delta – a six-part wildlife documentary series. </p>"
Maine Public Broadcasting,Maine Public Broadcasting Network,Lewiston,ME,http://mainepublic.org/,"<p>The Maine Public Broadcasting Network is a statewide dual licensee
providing both television and radio service throughout the state of Maine. MPBN’s
television service is also available in the Canadian maritime provinces and Quebec.</p><p>Today’s
MPBN is a result of a 1992 merger between Lewiston, Maine based WCBB and Orono,
Maine based WMEB. </p><p>WCBB TV was founded by Colby College, Bates College and Bowdoin
College and signed on as the first educational television service in Maine on
November 13, 1961. It served the southern and western parts of the state and the
studio was based in Lewiston.</p><p>WMEB TV was founded by the University of Maine
system and first went to air on October 7, 1963. Among its programs was the “Friendly
Giant” and “History with Herb Hake”.  In 1964, transmitters are constructed in
Presque Isle and Calais bringing educational television to northern and eastern
Maine.  In 1974 another transmitter is built to serve southern Maine. This group
of stations becomes known as the Maine Public Broadcasting Network in 1971. Based
on the University of Maine campus it moves to larger facilities in Bangor in 1987.</p><p>In
1970, MPBN launched WMEH-FM, Maine’s first public radio service.</p><p>WCBB and MPBN
collaborated many times over the years but finally merged to form a single entity
in July of 1992. After several name changes in the ensuing years, MPBN is chosen
to represent both the television and radio services.</p><p>Five television transmitters
and seven radio transmitters form the statewide backbone of the transmission system.
MPBN television provides one HD and three SD channels in its digital broadcast
stream: regular PBS programming with occasional local productions (HD), MPBN Create
(SD), MPBN World (SD) and a fourth channel which is used for seasonal coverage
of the Maine Legislature (SD).</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/mpbn_logo.png,"<p>The News Machine, and its French language counterpart La Machine
Magique - began in 1974. This weekly half-hour was a news program aimed at grade
school students. The French version was added to serve the French Acadian population
of far northern Maine. Both series ran in the mid 1970s.</p><p>La Bonne Aventure -
a 20 episode series devoted to French heritage received national distribution
and acclaim in 1976. In 1979 MPBN broadcast the Maine State High School Basketball
Tournaments. This annual production continues to this day and features 44 live
games from three locations played over the course of 2 weeks each February and
garners some of the highest ratings of the year. </p><p>Maine Watch - launched in 1987.
This weekly public affairs program ran until 2013 and included as one of its hosts
the future Maine Governor and U.S. Senator Angus King. </p><p>Maine Capitol Connection- daily live coverage of Maine’s legislative activities, began on February 6, 2013
and ran for two legislative sessions. </p>"
Maryland Public Television,Maryland Public Television,Owings Mills,MD,http://www.mpt.org/,"<p>In 1966, an act of the Maryland Legislature established the Maryland
Educational-Cultural Television Commission, the governance body of what became
known as the Maryland Center for Public Broadcasting and, later, Maryland Public
Television. Ground was broken for a headquarters and studio facility in suburban
Baltimore County’s community of Owings Mills on June 5, 1968, and the center went
on the air on October 5, 1969.  The founding executive director, Dr. Frederick
Breitenfeld, Jr., already a leading figure in public broadcasting at the time
of his appointment, served as chief executive for 17 years.</p><p>The center was established
as a nonprofit, state-licensed public television network and member of the Public
Broadcasting Service (PBS).  The state license required statewide reach, and so
six towers across the state enabled MPT to get its then-analog signal to all corners
of Maryland and into contiguous states and the District of Columbia.  In 1976,
the center initiated its first satellite communications project, linking two universities
in a law school moot court competition some 22,300 miles in space.</p><p>The 1970s
and 1980s saw the introduction of an astounding variety of center-produced historical
dramas, how-to programs, nature, and music offerings in addition to educational
and cultural programming. It was during this time that several MPT series enjoyed
their premieres and what would become decades-long popularity among viewers locally
and nationally.  MPT was rewarded for is production prowess with dozens of Emmy®
Awards (four of them national and the remainder regional) along with an impressive
list of other major broadcasting honors.</p><p>In 1984, the name Maryland Center for
Public Broadcasting gave way to Maryland Public Television. In 2004, MPT began
broadcasting in both analog and digital formats until digital-only transmission
started in 2009.  In 2007, MPT introduced V-me, a 24-hour Spanish language channel,
which joined MPT’s two other digital channels, the primary MPT-HD and secondary
channel MPT2, in the daily programming lineup. </p><p>MPT has been a pioneer in the
production, delivery and dissemination of pre-K-12 educational resources and online
courses. The award-winning education website Thinkport.org, launched in 2003,
offers high-quality lesson plans, digital media, learning games and resources
for educators, schools, the child care population, and families.  </p><p>Another MPT
educational endeavor, started in the late 1960s, came out of the State Department
of Education’s formation of a Division of Instructional Television.   ITV, as
it was known, was awarded one-third of the Maryland Center for Public Broadcasting’s
available production facilities, staff, and program schedule. By 1980-81 over
42% of Maryland teachers were using instructional television. </p><p>In 1970, College
of the Air debuted, as the center became the largest U.S. producer of telecourses
for credit. Today, via Thinkport, the platform for learning has expanded to embrace
online and mobile technologies, but MPT remains committed to being Maryland’s
sole statewide educator just as it was in the 1970s and ‘80s.  </p><p>Starting in 2007,
the Corporation for Public Broadcasting funded MPT to participate in the the American
Archive inventory of public media content. Working on a tight deadline of five
months beginning in late summer and finishing in December 2011, an MPT team worked
3,500 hours and was able to inventory almost 48,000 assets.</p><p>Today, under the
leadership of CEO Larry D. Unger, MPT’s fifth president, some 140 staff members
continue to produce award-winning local and national public television programs,
to provide distinctive online content and community outreach initiatives, and
to offer an impressive array of educational resources for children, teachers,
families, and daycare providers across the state and nationally.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/mpt_logo.png,"<ul>
<li><p>Wall $treet Week With Louis Rukeyser - 1972-2002; highlight was
1987 broadcast from London Stock Exchange to more than 300 U.S. PBS stations</p></li>
<li><p>MotorWeek – 1981-present; television’s longest-running automotive series</p></li>
<li><p>Our Street – groundbreaking
MPT-produced drama focusing on then-described “Negro family life in West Baltimore”</p></li>
<li><p>Crabs – 1984; half-hour comedy special live studio audience, numerous national and international
awards</p></li>
<li><p>Consumer Survival Kit, 1973-79, more than 100 30-minute programs; series
educated consumers; nationally distributed to PBS from 1974-79</p></li>
<li><p>HodgePodge Lodge – 1970-76; 600 30-min. programs, nature series; the first privately underwritten,
MPT-produced program; distributed nationally </p></li>
</ul>"
Media Burn,Media Burn,Chicago,IL,https://mediaburn.org/,"<p>Media Burn Archive is a 501(c)3 nonprofit in Chicago that collects, produces, and distributes documentary video created by artists, activists, and community groups. Their mission is to use archival media to deepen context and encourage critical thought through a social justice lens.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/mediaburn-logoscreen2.png,""
Mississippi Public Broadcasting,Mississippi Public Broadcasting,Jackson,MS,http://www.mpbonline.org/,"<p>Mississippi Public Broadcasting is a trusted multimedia organization that educates, enlightens and entertains Mississippians. As the only statewide radio and television broadcast network, MPB connects Mississippi households and communities.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/mississippi_public_broadcasting_logo.png,""
Mountain Lake PBS (WCFE),Mountain Lake PBS,Plattsburgh,NY,http://mountainlake.org/,"<p>For over 40 years, Mountain Lake PBS has been the public media station for the Adirondacks, Champlain Valley, Montreal and everywhere in between.</p><p>Located in Plattsburgh, NY, Mountain Lake PBS serves a vast audience in New York, Vermont, Quebec and Ontario with acclaimed PBS series such as Antiques Roadshow, Nova and Masterpiece, local productions including Mountain Lake Journal, and highly respected local documentaries like the Emmy Award-winning ARTS IN EXILE: Tibetan Treasures in Small Town America and ON HOME GROUND: Life after Service.</p><p>Mountain Lake PBS provides unique services and events to families and educators throughout the region, focused on early childhood literacy and STEAM (Science, Technology, Engineering, Arts, and Math) education, and partners with local organizations to strengthen educational opportunities and access in our region.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/mountain_lake.png,""
Nashville Public Television,Nashville Public Television,Nashville,TN,https://www.wnpt.org/,"<p>Nashville Public Television, Nashville’s PBS station, is available free and over-the-air to nearly 2.4 million people throughout the Middle Tennessee and southern Kentucky viewing area. NPT’s three broadcast channels are NPT, the main channel; secondary channel NPT2; and NPT3, a 24/7 PBS Kids channel. NPT is also available to anyone in the world through its array of NPT digital services, including wnpt.org, YouTube channels and the PBS video app. NPT provides, through the power of traditional television and interactive digital communications, quality educational, cultural and civic experiences that address issues and concerns of the people of the Nashville region, and which thereby help improve the lives of those we serve.</p><p>WNPT, Nashville's independent nonprofit PBS station, is operated by licensee Nashville Public Television, Inc.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/npt_logo.png,""
National Records and Archives Administration,National Records and Archives Administration,Washington,DC,https://www.archives.gov/,"",https://s3.amazonaws.com/americanarchive.org/org-logos/NARA_logo.png,""
New Hampshire Public Radio,New Hampshire Public Radio,Concord,NH,http://nhpr.org/,"","",""
New Hampshire Public Television,New Hampshire Public Television,Durham,NH,http://www.nhptv.org/,"","",""
New Jersey Network,New Jersey Network,Trenton,NJ,http://www.njtvonline.org/,"<p>In 1968, the ""New Jersey Public Broadcasting Authority Act of 1968""
established the New Jersey Public Broadcasting Authority (“NJPBA”) in response
to the perceived lack of coverage by both commercial and public broadcasters of
public affairs in New Jersey. NJPBA was tasked with promoting ""the intellectual,
cultural and civic development of the community by providing a broad range of
programs for all ages."" NJPBA is the FCC licensee of four television broadcast
stations and three television translators, which are operated in concert as a
statewide network. </p><p>Over 40 years of broadcasting, the NJPBA, operating under
the name of New Jersey Public Television and then New Jersey Network, became one
of the nation’s top public broadcasting producers of local content. The network
developed and produced a live nightly news program, NJN News, along with several
award-winning series and specials with a focus on public affairs, covering topics
ranging from politics and the New Jersey Statehouse to education, health and medical
affairs, environmental issues, youth violence, urban affairs, sports, and business
in New Jersey.</p><p>In July 2011, the NJPBA entered into a Programming and Services
Agreement with Public Media, NJ (“PMNJ”), a New Jersey, not-for-profit corporation,
to provide public television programming and services on the network under the
name of NJTV and online at NJTVonline.org. Today, NJPBA works to ensure that PMNJ
continues to provide high-quality, non-commercial programming that serves the
needs and interests of the citizens of New Jersey and furthers NJPBA’s educational
objectives.  NJPBA is also the steward of the historically and culturally valuable
NJN program library, which contains an estimated 80,000 to 100,000 media assets
that cover 40,000 to 50,000 hours of material. NJPBA is working toward the goal
of cataloging, preserving, and making the 40 years’ worth of media content created
by NJN available to the public.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/njn_logo.png,"<p>NJN News - A 30-minute daily news program focused on the issues
and events relevant to New Jersey’s citizens.  </p><p>On the Record - A 30-minute weekly
program featuring one-on-one interviews with New Jersey newsmakers and lawmakers.</p><p>Reporters Roundtable with Michael Aron - A 30-minute weekly program featuring
reporters discussing New Jersey’s political scene.  </p><p>Images/Imagenes - The longest
running Latino community program in the history of PBS, this 30-minute weekly
program focused on cultural events and public affairs in the Hispanic community
and featured the annual special, NJN Hispanic Youth Showcase, which provided scholarships
for some of New Jersey’s finest young Hispanic dancers, musicians, and singers.</p><p>State
of the Arts - A 30-minute weekly program on location with creative personalities
in New Jersey.</p><p>Due Process - A 30-minute weekly program addressing contemporary
legal issues and featuring various legal professionals and experts.  </p><p>Another
View - A 30-minute monthly public affairs program focused on New Jersey’s African-American
communities.  </p><p>Classroom Close-up, NJ - A 30-minute weekly program featuring
New Jersey’s public school success stories.  </p>"
NewsHour Productions,NewsHour Productions,Washington,DC,http://www.pbs.org/newshour/,"<p>With a history spanning five decades, the PBS NewsHour is consistently named the most trusted news program in the country and continues to earn some of journalism’s highest honors.  Co-anchored by Gwen Ifill and Judy Woodruff, the PBS NewsHour continues the journalistic legacy first set forth by Robert MacNeil and Jim Lehrer – who established the nightly news program’s mission of providing serious, long-form journalism to a nationwide audience.  PBS NewsHour reaches millions of viewers on PBS and via a <a href=""http://www.pbs.org/newshour/"">robust website</a>, multiple digital platforms and public radio in select markets.  NewsHour Productions LLC is a wholly-owned, non-profit subsidiary of WETA in Washington, DC.  In addition to the nightly news program, NewsHour Productions offers an extensive archival footage collection and produces special projects, documentaries and civic forums.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/newshour_logo.png,""
No AAPB Contributor,NOTFOUND!
North Carolina Public Radio - WUNC,WUNC,Chapel Hill,NC,http://wunc.org/,"","",""
OETA - Oklahoma Educational Television Authority,OETA,Oklahoma City,OK,http://www.oeta.tv/home/,"","",""
Oregon Public Broadcasting (OPB),Oregon Public Broadcasting,Portland,OR,http://www.opb.org/,"<p>OPB provides essential news, information and entertainment to the Northwest. With public service at the heart of our journalistic mission, we deliver fact-based local, regional and national news coverage daily, along with deep investigative reporting, original OPB series, podcasts and more. </p><p>Powered by the generous support of OPB members, we illuminate the people, places and issues of the region and put stories into context. We engage listeners, viewers, readers and followers across the Northwest to spark conversation, connection and further exploration about what it means to live in this place we call home.</p><p>OPB’s content and programs can be accessed anywhere, at any time on OPB TV, OPB Radio, <a href=""https://www.opb.org"">opb.org</a> and on digital and social media. </p>",https://s3.amazonaws.com/americanarchive.org/org-logos/opb_logo.png,""
